Date,price,addressline1,addressline2,po,bedrooms,totalbedrooms,bathrooms,propertyType,BuildingType,storeys,communityName,title,landSize,Builtin,parkingType,publishTime,PriceHistory,totalFinishedArea,appliancesIncluded,foundationType,style,architectureStyle,basementType
Mar-22,345000,140 Kestral Ridge,"New Glasgow, Nova Scotia B2H5V6",B2H5V6,3,4,2,Single Family,House,1,New Glasgow,Freehold,under 1/2 acre,1999,,1 day,,2400,"Range - Electric, Dishwasher, Garburator, Refrigerator",Poured Concrete,Detached,Character,Full (Finished)
Mar-22,230000,15 St Vincent Street,"Stellarton, Nova Scotia B0K1S0",B0K1S0,4,4,2,Single Family,House,2,Stellarton,Freehold,1/2 - 1 acre,,Gravel,2 days,"Sep 18, 2014 Sold $35,000",1500,"Dishwasher, Dryer, Washer, Refrigerator",Concrete Block,Detached,,
Mar-22,315000,763 ROCKNOTCH Road,"Greenwood, Nova Scotia B0P1N0",B0P1N0,3,3,3,Single Family,House,2,Greenwood,Freehold,1 - 3 acres,2012,"Garage, Attached Garage",2 days,,2400,"Range - Electric, Dishwasher, Refrigerator",Poured Concrete,Semi-detached,,Full (Partially finished)
Mar-22,125000,436 Main Street,"Parrsboro, Nova Scotia B0M1S0",B0M1S0,4,4,2,Single Family,House,2,Parrsboro,Freehold,1/2 - 1 acre,1860,"Garage, Detached Garage, Gravel",2 days,,2084,"Range, Dryer, Washer, Refrigerator",Stone,Detached,,
Mar-22,379900,123 Hemlock Drive,"Elmsdale, Nova Scotia B2S1B9",B2S1B9,2,3,2,Single Family,House,1,Elmsdale,Freehold,under 1/2 acre,1997,"Garage, Detached Garage, Gravel",2 days,"Aug 4, 2021 Sold $400,000",1872,,Poured Concrete,Detached,,Full (Finished)
Mar-22,399900,331 Prospect Bay Road,"Prospect Village, Nova Scotia B3T1Z7",B3T1Z7,4,4,3,Single Family,House,2,Prospect Village,Freehold,under 1/2 acre,1966,"Garage, Detached Garage, Parking Space(s)",2 days,,2853,"Oven, Dryer, Washer, Refrigerator",Poured Concrete,Detached,,
Mar-22,379000,42 Weir Avenue,"Stellarton, Nova Scotia B0K1S0",B0K1S0,4,4,2,Single Family,House,2,Stellarton,Freehold,under 1/2 acre,,Gravel,2 days,,2000,"Stove, Dryer, Washer, Refrigerator",Poured Concrete,Detached,,Full (Unfinished)
Mar-22,479000,702 89 Waterfront Drive,"Bedford, Nova Scotia B4A2E6",B4A2E6,2,2,2,Single Family,Apartment,1,Bedford,Condominium/Strata,,2003,"Garage, Underground, Parking Space(s)",2 days,"Aug 20, 2004 Sold $195,000",1215,"Stove, Dishwasher, Dryer, Washer, Microwave, Refrigerator",Concrete Block,,Other,Unknown
Mar-22,187900,11 Roland Road,"Fall River, Nova Scotia B2T1E6",B2T1E6,2,2,1,Single Family,House,1,Fall River,Unknown,,2014,None,2 days,,784,"Stove, Dryer, Washer, Refrigerator",,Detached,Mini,None
Mar-22,350000,34 William Street,"Hantsport, Nova Scotia B0P1P0",B0P1P0,3,3,4,Single Family,House,2,Hantsport,Freehold,under 1/2 acre,1922,"Garage, Attached Garage",2 days,,4300,,Poured Concrete,Detached,Contemporary,Full (Unfinished)
Mar-22,149900,837 Highway 224,"Sheet Harbour, Nova Scotia B0J3B0",B0J3B0,2,2,1,Single Family,House,1,Sheet Harbour,Freehold,1/2 - 1 acre,1992,Gravel,2 days,"Nov 1, 2012 Sold $32,000",1428,,Poured Concrete,Detached,Character,Full (Partially finished)
Mar-22,374900,419 Highway 246,"Wentworth, Nova Scotia B0M1Z0",B0M1Z0,3,3,1,Single Family,House,2,Wentworth,Freehold,1 - 3 acres,2015,Gravel,2 days,,924,"Range, Refrigerator, Hot Tub",Poured Concrete,Detached,,Crawl space
Mar-22,450000,97 Clermont Crescent,"Dartmouth, Nova Scotia B2W4N9",B2W4N9,0,1,2,Single Family,House,1,Dartmouth,Freehold,under 1/2 acre,1976,,2 days,,1609,,Poured Concrete,Detached,Character,Full (Finished)
Mar-22,249900,10951 Peggys Cove Road,"Seabright, Nova Scotia B3Z3C7",B3Z3C7,1,1,1,Single Family,House,1,Seabright,Freehold,under 1/2 acre,,Gravel,2 days,,1090,"Stove, Dryer, Washer, Microwave, Refrigerator","Concrete Block, Poured Concrete",Detached,Character,Full (Finished)
Mar-22,335000,217 Donegal Drive,"Cole Harbour, Nova Scotia B2V1P2",B2V1P2,2,2,2,Single Family,House,1,Cole Harbour,Freehold,under 1/2 acre,1976,"Garage, Detached Garage",2 days,,1716,,Poured Concrete,Detached,,
Mar-22,649900,371 Gaspereau Run,"Middle Sackville, Nova Scotia B4E0R5",B4E0R5,2,3,2,Single Family,House,1,Middle Sackville,Freehold,1 - 3 acres,2019,"Garage, Gravel",2 days,"Mar 7, 2019 Sold $339,900",1655,,Poured Concrete,Detached,,
Mar-22,409000,139 Marjorie Drive,"West Porters Lake, Nova Scotia B3E1N2",B3E1N2,2,3,2,Single Family,House,1,West Porters Lake,Freehold,1 - 3 acres,2011,"Garage, Detached Garage, Gravel",2 days,"May 19, 2006 Sold $16,000",2200,"Oven - Electric, Dishwasher, Dryer, Washer, Refrigerator",Poured Concrete,Detached,,
Mar-22,685000,157 Freshwater Trail,"Dartmouth, Nova Scotia B2W0G5",B2W0G5,3,4,3,Single Family,House,1,Dartmouth,Freehold,under 1/2 acre,2009,"Garage, Attached Garage",2 days,"Apr 15, 2011 Sold $391,000",2998,"Range - Gas, Dishwasher, Dryer - Electric, Washer, Refrigerator, Central Vacuum",Poured Concrete,Detached,,Full (Finished)
Mar-22,489000,1895 Highway 215,"Tennecape, Nova Scotia B0N2R0",B0N2R0,2,2,2,Single Family,House,2,Tennecape,Freehold,,2015,"Garage, Detached Garage, Gravel",2 days,,1365,"Range - Electric, Dishwasher, Dryer - Electric, Washer, Refrigerator","Poured Concrete, Concrete Slab",Detached,,None
Mar-22,245000,187 BELCHER Street,"Kentville, Nova Scotia B4N1E2",B4N1E2,2,4,2,Single Family,House,2,Kentville,Freehold,under 1/2 acre,1955,Gravel,2 days,"Nov 2, 2018 Sold $125,000",2000,"Range - Electric, Refrigerator",Poured Concrete,Detached,,Full (Finished)
Mar-22,2490000,570 Young Avenue,"Halifax, Nova Scotia B3H2V5",B3H2V5,5,5,5,Single Family,House,3,Halifax,Freehold,under 1/2 acre,1924,"Garage, Detached Garage",2 days,"Jul 31, 2014 Sold $1,800,000",5738,"Dishwasher, Dryer, Washer, Refrigerator",Poured Concrete,Detached,,
Mar-22,549900,58 Shore Road,"Herring Cove, Nova Scotia B3V1G7",B3V1G7,3,3,3,Single Family,House,2,Herring Cove,Freehold,1/2 - 1 acre,1918,Gravel,2 days,"Oct 29, 2018 Sold $383,077",2334,"Cooktop - Propane, Oven, Dishwasher, Dryer, Washer, Microwave, Refrigerator",Concrete Block,Detached,,Partial
Mar-22,489900,6462/6464 Almon Street,"Halifax, Nova Scotia B3L1V7",B3L1V7,2,3,2,Single Family,House,1,Halifax,Freehold,under 1/2 acre,1949,Garage,2 days,"Mar 1, 2010 Sold $250,000",1362,"Stove, Dryer, Washer, Washer/Dryer Combo, Refrigerator",Concrete Block,Detached,Character,Full (Finished)
Mar-22,99900,12535 Highway 3,"Rhodes Corner, Nova Scotia B4V5M9",B4V5M9,3,3,1,Single Family,Mobile Home,1,Rhodes Corner,Freehold,1/2 - 1 acre,,,2 days,,850,"Stove, Refrigerator",,,,None
Mar-22,599900,45 Russet Street,"New Minas, Nova Scotia B4N4A2",B4N4A2,4,4,3,Single Family,House,2,New Minas,Freehold,1/2 - 1 acre,1980,,2 days,"Oct 15, 2014 Sold $235,000",2263,"Dishwasher, Dryer, Washer, Refrigerator",Poured Concrete,Detached,,Full (Partially finished)
Mar-22,398900,1135 Ward Road,"Millville, Nova Scotia B0P1C0",B0P1C0,3,3,2,Single Family,House,1,Millville,Freehold,1 - 3 acres,,"Garage, Attached Garage, Gravel",2 days,,1300,None,"Poured Concrete, Concrete Slab",Detached,Character,None
Mar-22,319900,9 Highrigger Crescent,"Middle Sackville, Nova Scotia B4E2V5",B4E2V5,3,4,3,Single Family,House,2,Middle Sackville,Freehold,1/2 - 1 acre,1987,,2 days,"Feb 18, 2013 Sold $178,000",1720,"Stove, Dishwasher, Dryer, Washer, Refrigerator",Poured Concrete,Semi-detached,,Full (Finished)
